placeId,source,sourceUrl,name,address,phone,website,googleMapsUrl,rating,reviewCount,businessStatus,primaryType,types,pureServiceAreaBusiness,latitude,longitude,matchedTerms,matchedAreas,totalScore,technicalScore,modernityScore,attractivenessScore,conversionScore,contentScore,leadAngle,reachable,finalUrl,statusCode,loadMs,screenshotPath,findings,recommendations,hasBooking,hasPricing,hasGallery,hasReviews,hasContactForm,hasSchema,error
osm:node/12599378535,osm,https://www.openstreetmap.org/node/12599378535,Sparta Car Wash: Detail Center,NJ,,,,,,,car_wash,amenity=car_wash,false,41.0776566,-74.6614501,detailing,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
osm:node/11049785704,osm,https://www.openstreetmap.org/node/11049785704,Taylor's Auto Detailing,NJ,,,,,,,car_wash,amenity=car_wash,false,39.9232267,-74.9481611,auto detailing; detailing,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
osm:node/8984594667,osm,https://www.openstreetmap.org/node/8984594667,The Detail Shop,"1910 NJ-23, Wayne NJ 07470",,,,,,,shop:car_repair,shop=car_repair,false,40.9485848,-74.2745709,detailing,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
osm:way/1453990875,osm,https://www.openstreetmap.org/way/1453990875,The Detail Shop,"56 Mill Street, Belleville NJ 07109",+1-973-517-4522,,,,,,openstreetmap_place,,false,40.7816274,-74.1532629,detailing,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
osm:node/5665177811,osm,https://www.openstreetmap.org/node/5665177811,Top Auto Detailing,"2513 Carman Street, Camden NJ 08105",,,,,,,car_wash,amenity=car_wash,false,39.9455417,-75.0892379,auto detailing; detailing,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
osm:way/46133160,osm,https://www.openstreetmap.org/way/46133160,Urban Auto Spa,"785 Route 17, Ramsey NJ 07446",,,,,,,car_wash,amenity=car_wash,false,41.0627637,-74.1264858,auto spa,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
osm:way/272409799,osm,https://www.openstreetmap.org/way/272409799,Urban Auto Spa,"755 Paterson-Hamburg Turnpike, Wayne NJ 07470",,,,,,,car_wash,amenity=car_wash,false,40.9569743,-74.22394,auto spa,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
osm:node/13907211893,osm,https://www.openstreetmap.org/node/13907211893,Waxman of Tristate Car Detailing Center,"1505 John F. Kennedy Boulevard, Jersey City NJ 07305",+1-551-325-2020,https://waxmanoftristate.com/,,,,,amenity:car_rental,amenity=car_rental,false,40.6941334,-74.101985,car detailing; detailing,New Jersey,92,90,85,87,100,100,General website improvement opportunity,true,https://waxmanoftristate.com/,200,1855,,Older implementation markers detected: site builder/CMS marker. | Website has a comparatively strong automated audit score.,Modernize frontend dependencies and visual system before increasing paid traffic.,true,true,true,true,true,true,
osm:way/994114095,osm,https://www.openstreetmap.org/way/994114095,West 10 Car Wash and Detail Center,"116 Route 10 West, Succasunna NJ 07876",,,,,,,car_wash,amenity=car_wash,false,40.8658222,-74.6365938,detailing,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
osm:way/274201778,osm,https://www.openstreetmap.org/way/274201778,Willowbrook Car Wash & Detail Center,"1 River Lawn Drive, Wayne NJ 07470",,,,,,,car_wash,amenity=car_wash,false,40.8880531,-74.247426,detailing,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
